w,k,Output,Index,Symbol
Ǿ,255,ÿ,512,Ǿÿ
ÿ,513,ÿÿ,513,ÿÿ
ÿÿ,514,ÿÿÿ,514,ÿÿÿ
ÿÿÿ,515,ÿÿÿÿ,515,ÿÿÿÿ
ÿÿÿÿ,516,ÿÿÿÿÿ,516,ÿÿÿÿÿ
ÿÿÿÿÿ,517,ÿÿÿÿÿÿ,517,ÿÿÿÿÿÿ
ÿÿÿÿÿÿ,518,ÿÿÿÿÿÿÿ,518,ÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿ,519,ÿÿÿÿÿÿÿÿ,519,ÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿ,520,ÿÿÿÿÿÿÿÿÿ,520,ÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿ,513,ÿÿ,521,ÿÿÿÿÿÿÿÿÿÿ
ÿÿ,254,þ,522,ÿÿþ
þ,255,ÿ,523,þÿ
ÿ,254,þ,524,ÿþ
þ,256,Ā,525,þĀ
Ā,523,þÿ,526,Āþ
þÿ,526,Āþ,527,þÿĀ
Āþ,256,Ā,528,ĀþĀ
Ā,515,ÿÿÿÿ,529,Āÿ
ÿÿÿÿ,526,Āþ,530,ÿÿÿÿĀ
Āþ,521,ÿÿÿÿÿÿÿÿÿÿ,531,Āþÿ
ÿÿÿÿÿÿÿÿÿÿ,518,ÿÿÿÿÿÿÿ,532,ÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿ,523,þÿ,533,ÿÿÿÿÿÿÿþ
þÿ,530,ÿÿÿÿĀ,534,þÿÿ
ÿÿÿÿĀ,515,ÿÿÿÿ,535,ÿÿÿÿĀÿ
ÿÿÿÿ,534,þÿÿ,536,ÿÿÿÿþ
þÿÿ,255,ÿ,537,þÿÿÿ
ÿ,529,Āÿ,538,ÿĀ
Āÿ,521,ÿÿÿÿÿÿÿÿÿÿ,539,Āÿÿ
ÿÿÿÿÿÿÿÿÿÿ,539,Āÿÿ,540,ÿÿÿÿÿÿÿÿÿÿĀ
Āÿÿ,255,ÿ,541,Āÿÿÿ
ÿ,253,ý,542,ÿý
ý,531,Āþÿ,543,ýĀ
Āþÿ,513,ÿÿ,544,Āþÿÿ
ÿÿ,256,Ā,545,ÿÿĀ
Ā,544,Āþÿÿ,546,ĀĀ
Āþÿÿ,545,ÿÿĀ,547,Āþÿÿÿ
ÿÿĀ,537,þÿÿÿ,548,ÿÿĀþ
þÿÿÿ,540,ÿÿÿÿÿÿÿÿÿÿĀ,549,þÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿĀ,524,ÿþ,550,ÿÿÿÿÿÿÿÿÿÿĀÿ
ÿþ,538,ÿĀ,551,ÿþÿ
ÿĀ,532,ÿÿÿÿÿÿÿÿÿÿÿ,552,ÿĀÿ
ÿÿÿÿÿÿÿÿÿÿÿ,553,ÿÿÿÿÿÿÿÿÿÿÿÿ,553,ÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿ,554,ÿÿÿÿÿÿÿÿÿÿÿÿÿ,554,ÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿ,532,ÿÿÿÿÿÿÿÿÿÿÿ,555,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿ,549,þÿÿÿÿ,556,ÿÿÿÿÿÿÿÿÿÿÿþ
þÿÿÿÿ,516,ÿÿÿÿÿ,557,þÿÿÿÿÿ
ÿÿÿÿÿ,527,þÿĀ,558,ÿÿÿÿÿþ
þÿĀ,555,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,559,þÿĀÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,548,ÿÿĀþ,560,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿĀþ,558,ÿÿÿÿÿþ,561,ÿÿĀþÿ
ÿÿÿÿÿþ,545,ÿÿĀ,562,ÿÿÿÿÿþÿ
ÿÿĀ,524,ÿþ,563,ÿÿĀÿ
ÿþ,525,þĀ,564,ÿþþ
þĀ,552,ÿĀÿ,565,þĀÿ
ÿĀÿ,566,ÿĀÿÿ,566,ÿĀÿÿ
ÿĀÿÿ,560,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,567,ÿĀÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,568,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,568,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,569,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,569,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,555,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,570,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,557,þÿÿÿÿÿ,571,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿþ
þÿÿÿÿÿ,551,ÿþÿ,572,þÿÿÿÿÿÿ
ÿþÿ,514,ÿÿÿ,573,ÿþÿÿ
ÿÿÿ,546,ĀĀ,574,ÿÿÿĀ
ĀĀ,572,þÿÿÿÿÿÿ,575,ĀĀþ
þÿÿÿÿÿÿ,569,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,576,þÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,528,ĀþĀ,577,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿĀ
ĀþĀ,573,ÿþÿÿ,578,ĀþĀÿ
ÿþÿÿ,558,ÿÿÿÿÿþ,579,ÿþÿÿÿ
ÿÿÿÿÿþ,541,Āÿÿÿ,580,ÿÿÿÿÿþĀ
Āÿÿÿ,522,ÿÿþ,581,Āÿÿÿÿ
ÿÿþ,581,Āÿÿÿÿ,582,ÿÿþĀ
Āÿÿÿÿ,565,þĀÿ,583,Āÿÿÿÿþ
þĀÿ,534,þÿÿ,584,þĀÿþ
þÿÿ,575,ĀĀþ,585,þÿÿĀ
ĀĀþ,574,ÿÿÿĀ,586,ĀĀþÿ
ÿÿÿĀ,576,þÿÿÿÿÿÿÿ,587,ÿÿÿĀþ
þÿÿÿÿÿÿÿ,553,ÿÿÿÿÿÿÿÿÿÿÿÿ,588,þÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿ,581,Āÿÿÿÿ,589,ÿÿÿÿÿÿÿÿÿÿÿÿĀ
Āÿÿÿÿ,570,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,590,Āÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,591,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,591,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,517,ÿÿÿÿÿÿ,592,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿ,585,þÿÿĀ,593,ÿÿÿÿÿÿþ
þÿÿĀ,254,þ,594,þÿÿĀþ
þ,527,þÿĀ,595,þþ
þÿĀ,585,þÿÿĀ,596,þÿĀþ
þÿÿĀ,573,ÿþÿÿ,597,þÿÿĀÿ
ÿþÿÿ,544,Āþÿÿ,598,ÿþÿÿĀ
Āþÿÿ,590,Āÿÿÿÿÿ,599,ĀþÿÿĀ
Āÿÿÿÿÿ,519,ÿÿÿÿÿÿÿÿ,600,Āÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿ,595,þþ,601,ÿÿÿÿÿÿÿÿþ
þþ,529,Āÿ,602,þþĀ
Āÿ,526,Āþ,603,ĀÿĀ
Āþ,597,þÿÿĀÿ,604,Āþþ
þÿÿĀÿ,603,ĀÿĀ,605,þÿÿĀÿĀ
ĀÿĀ,592,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,606,ĀÿĀÿ
