w,k,Output,Index,Symbol
Ǿ,ÿ,510,512,Ǿÿ
ÿ,ÿ,255,513,ÿÿ
ÿÿ,ÿ,513,514,ÿÿÿ
ÿÿÿ,ÿ,514,515,ÿÿÿÿ
ÿÿÿÿ,ÿ,515,516,ÿÿÿÿÿ
ÿÿÿÿÿ,ÿ,516,517,ÿÿÿÿÿÿ
ÿÿÿÿÿÿ,ÿ,517,518,ÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿ,ÿ,518,519,ÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿ,ÿ,519,520,ÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿ,ÿ,520,521,ÿÿÿÿÿÿÿÿÿÿ
ÿÿ,þ,513,522,ÿÿþ
þ,ÿ,254,523,þÿ
ÿ,þ,255,524,ÿþ
þ,Ā,254,525,þĀ
Ā,þ,256,526,Āþ
þÿ,Ā,523,527,þÿĀ
Āþ,Ā,526,528,ĀþĀ
Ā,ÿ,256,529,Āÿ
ÿÿÿÿ,Ā,515,530,ÿÿÿÿĀ
Āþ,ÿ,526,531,Āþÿ
ÿÿÿÿÿÿÿÿÿÿ,ÿ,521,532,ÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿ,þ,518,533,ÿÿÿÿÿÿÿþ
þÿ,ÿ,523,534,þÿÿ
ÿÿÿÿĀ,ÿ,530,535,ÿÿÿÿĀÿ
ÿÿÿÿ,þ,515,536,ÿÿÿÿþ
þÿÿ,ÿ,534,537,þÿÿÿ
ÿ,Ā,255,538,ÿĀ
Āÿ,ÿ,529,539,Āÿÿ
ÿÿÿÿÿÿÿÿÿÿ,Ā,521,540,ÿÿÿÿÿÿÿÿÿÿĀ
Āÿÿ,ÿ,539,541,Āÿÿÿ
ÿ,ý,255,542,ÿý
ý,Ā,253,543,ýĀ
Āþÿ,ÿ,531,544,Āþÿÿ
ÿÿ,Ā,513,545,ÿÿĀ
Ā,Ā,256,546,ĀĀ
Āþÿÿ,ÿ,544,547,Āþÿÿÿ
ÿÿĀ,þ,545,548,ÿÿĀþ
þÿÿÿ,ÿ,537,549,þÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿĀ,ÿ,540,550,ÿÿÿÿÿÿÿÿÿÿĀÿ
ÿþ,ÿ,524,551,ÿþÿ
ÿĀ,ÿ,538,552,ÿĀÿ
ÿÿÿÿÿÿÿÿÿÿÿ,ÿ,532,553,ÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿ,ÿ,553,554,ÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿ,ÿ,554,555,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿ,þ,532,556,ÿÿÿÿÿÿÿÿÿÿÿþ
þÿÿÿÿ,ÿ,549,557,þÿÿÿÿÿ
ÿÿÿÿÿ,þ,516,558,ÿÿÿÿÿþ
þÿĀ,ÿ,527,559,þÿĀÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,ÿ,555,560,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
