w,k,Output,Index,Symbol
ÿ,ÿ,255,256,ÿÿ
ÿÿ,ÿ,256,257,ÿÿÿ
ÿÿÿ,ÿ,257,258,ÿÿÿÿ
ÿÿÿÿ,ÿ,258,259,ÿÿÿÿÿ
ÿÿÿÿÿ,ÿ,259,260,ÿÿÿÿÿÿ
ÿÿÿÿÿÿ,ÿ,260,261,ÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿ,ÿ,261,262,ÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿ,ÿ,262,263,ÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿ,ÿ,263,264,ÿÿÿÿÿÿÿÿÿÿ
ÿÿÿ,þ,257,265,ÿÿÿþ
þ,þ,254,266,þþ
þ,ý,254,267,þý
ý,þ,253,268,ýþ
þý,ý,267,269,þýý
ýþ,ý,268,270,ýþý
ýþ,þ,268,271,ýþþ
þþ,þ,266,272,þþþ
þþ,ÿ,266,273,þþÿ
ÿ,þ,255,274,ÿþ
þþþ,þ,272,275,þþþþ
þþþþ,þ,275,276,þþþþþ
þþþþþ,þ,276,277,þþþþþþ
þþþþþþ,ý,277,278,þþþþþþý
ý,ý,253,279,ýý
ýý,ý,279,280,ýýý
ýýý,þ,280,281,ýýýþ
þþþþþ,ý,276,282,þþþþþý
ýýý,ý,280,283,ýýýý
ýþþ,þ,271,284,ýþþþ
þþþþþþ,þ,277,285,þþþþþþþ
þþþþ,ÿ,275,286,þþþþÿ
ÿÿÿÿ,ý,258,287,ÿÿÿÿý
ýþý,ý,270,288,ýþýý
ýýýþ,ÿ,281,289,ýýýþÿ
ÿþ,þ,274,290,ÿþþ
þþþþÿ,þ,286,291,þþþþÿþ
þþþþþþþ,þ,285,292,þþþþþþþþ
þþþþþþþ,ÿ,285,293,þþþþþþþÿ
ÿÿ,þ,256,294,ÿÿþ
þþÿ,ÿ,273,295,þþÿÿ
ÿÿÿÿÿÿÿÿÿÿ,ÿ,264,296,ÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿ,ÿ,296,297,ÿÿÿÿÿÿÿÿÿÿÿÿ
