w,k,Output,Index,Symbol
Ǿ,255,ÿ,512,Ǿÿ
ÿ,513,ÿÿ,513,ÿÿ
ÿÿ,514,ÿÿÿ,514,ÿÿÿ
ÿÿÿ,515,ÿÿÿÿ,515,ÿÿÿÿ
ÿÿÿÿ,516,ÿÿÿÿÿ,516,ÿÿÿÿÿ
ÿÿÿÿÿ,517,ÿÿÿÿÿÿ,517,ÿÿÿÿÿÿ
ÿÿÿÿÿÿ,518,ÿÿÿÿÿÿÿ,518,ÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿ,519,ÿÿÿÿÿÿÿÿ,519,ÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿ,520,ÿÿÿÿÿÿÿÿÿ,520,ÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿ,521,ÿÿÿÿÿÿÿÿÿÿ,521,ÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿ,514,ÿÿÿ,522,ÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿ,254,þ,523,ÿÿÿþ
þ,256,Ā,524,þĀ
Ā,523,ÿÿÿþ,525,Āÿ
ÿÿÿþ,515,ÿÿÿÿ,526,ÿÿÿþÿ
ÿÿÿÿ,253,ý,527,ÿÿÿÿý
ý,257,ā,528,ýā
ā,516,ÿÿÿÿÿ,529,āÿ
ÿÿÿÿÿ,525,Āÿ,530,ÿÿÿÿÿĀ
Āÿ,518,ÿÿÿÿÿÿÿ,531,Āÿÿ
ÿÿÿÿÿÿÿ,524,þĀ,532,ÿÿÿÿÿÿÿþ
þĀ,255,ÿ,533,þĀÿ
ÿ,253,ý,534,ÿý
ý,513,ÿÿ,535,ýÿ
ÿÿ,535,ýÿ,536,ÿÿý
ýÿ,513,ÿÿ,537,ýÿÿ
ÿÿ,258,Ă,538,ÿÿĂ
Ă,531,Āÿÿ,539,ĂĀ
Āÿÿ,522,ÿÿÿÿÿÿÿÿÿÿÿ,540,Āÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿ,522,ÿÿÿÿÿÿÿÿÿÿÿ,541,ÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿ,524,þĀ,542,ÿÿÿÿÿÿÿÿÿÿÿþ
þĀ,533,þĀÿ,543,þĀþ
þĀÿ,513,ÿÿ,544,þĀÿÿ
ÿÿ,254,þ,545,ÿÿþ
þ,528,ýā,546,þý
ýā,255,ÿ,547,ýāÿ
ÿ,540,Āÿÿÿ,548,ÿĀ
Āÿÿÿ,516,ÿÿÿÿÿ,549,Āÿÿÿÿ
ÿÿÿÿÿ,254,þ,550,ÿÿÿÿÿþ
þ,548,ÿĀ,551,þÿ
ÿĀ,541,ÿÿÿÿÿÿÿÿÿÿÿÿ,552,ÿĀÿ
ÿÿÿÿÿÿÿÿÿÿÿÿ,553,ÿÿÿÿÿÿÿÿÿÿÿÿÿ,553,ÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿ,554,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,554,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,553,ÿÿÿÿÿÿÿÿÿÿÿÿÿ,555,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿ,546,þý,556,ÿÿÿÿÿÿÿÿÿÿÿÿÿþ
þý,538,ÿÿĂ,557,þýÿ
ÿÿĂ,523,ÿÿÿþ,558,ÿÿĂÿ
ÿÿÿþ,535,ýÿ,559,ÿÿÿþý
ýÿ,257,ā,560,ýÿā
ā,549,Āÿÿÿÿ,561,āĀ
Āÿÿÿÿ,255,ÿ,562,Āÿÿÿÿÿ
ÿ,551,þÿ,563,ÿþ
þÿ,515,ÿÿÿÿ,564,þÿÿ
ÿÿÿÿ,549,Āÿÿÿÿ,565,ÿÿÿÿĀ
Āÿÿÿÿ,546,þý,566,Āÿÿÿÿþ
þý,551,þÿ,567,þýþ
þÿ,256,Ā,568,þÿĀ
Ā,258,Ă,569,ĀĂ
Ă,555,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,570,Ăÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,571,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,571,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,572,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,572,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,573,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,573,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,574,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,574,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,526,ÿÿÿþÿ,575,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿþÿ,560,ýÿā,576,ÿÿÿþÿý
ýÿā,522,ÿÿÿÿÿÿÿÿÿÿÿ,577,ýÿāÿ
ÿÿÿÿÿÿÿÿÿÿÿ,562,Āÿÿÿÿÿ,578,ÿÿÿÿÿÿÿÿÿÿÿĀ
Āÿÿÿÿÿ,545,ÿÿþ,579,Āÿÿÿÿÿÿ
ÿÿþ,525,Āÿ,580,ÿÿþĀ
Āÿ,551,þÿ,581,Āÿþ
þÿ,537,ýÿÿ,582,þÿý
ýÿÿ,255,ÿ,583,ýÿÿÿ
ÿ,561,āĀ,584,ÿā
āĀ,564,þÿÿ,585,āĀþ
þÿÿ,552,ÿĀÿ,586,þÿÿÿ
ÿĀÿ,575,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,587,ÿĀÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,564,þÿÿ,588,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿþ
þÿÿ,547,ýāÿ,589,þÿÿý
ýāÿ,514,ÿÿÿ,590,ýāÿÿ
ÿÿÿ,579,Āÿÿÿÿÿÿ,591,ÿÿÿĀ
Āÿÿÿÿÿÿ,575,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,592,Āÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,593,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,593,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,555,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,594,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,254,þ,595,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿþ
þ,252,ü,596,þü
ü,548,ÿĀ,597,üÿ
ÿĀ,570,Ăÿ,598,ÿĀĂ
Ăÿ,513,ÿÿ,599,Ăÿÿ
ÿÿ,252,ü,600,ÿÿü
ü,568,þÿĀ,601,üþ
þÿĀ,599,Ăÿÿ,602,þÿĀĂ
Ăÿÿ,550,ÿÿÿÿÿþ,603,Ăÿÿÿ
ÿÿÿÿÿþ,516,ÿÿÿÿÿ,604,ÿÿÿÿÿþÿ
ÿÿÿÿÿ,528,ýā,605,ÿÿÿÿÿý
ýā,256,Ā,606,ýāĀ
Ā,596,þü,607,Āþ
þü,606,ýāĀ,608,þüý
ýāĀ,603,Ăÿÿÿ,609,ýāĀĂ
Ăÿÿÿ,594,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,610,Ăÿÿÿÿ
