w,k,Output,Index,Symbol
Ǿ,ÿ,510,512,Ǿÿ
ÿ,ÿ,255,513,ÿÿ
ÿÿ,ÿ,513,514,ÿÿÿ
ÿÿÿ,ÿ,514,515,ÿÿÿÿ
ÿÿÿÿ,ÿ,515,516,ÿÿÿÿÿ
ÿÿÿÿÿ,ÿ,516,517,ÿÿÿÿÿÿ
ÿÿÿÿÿÿ,ÿ,517,518,ÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿ,ÿ,518,519,ÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿ,ÿ,519,520,ÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿ,ÿ,520,521,ÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿ,ÿ,521,522,ÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿ,þ,514,523,ÿÿÿþ
þ,Ā,254,524,þĀ
Ā,ÿ,256,525,Āÿ
ÿÿÿþ,ÿ,523,526,ÿÿÿþÿ
ÿÿÿÿ,ý,515,527,ÿÿÿÿý
ý,ā,253,528,ýā
ā,ÿ,257,529,āÿ
ÿÿÿÿÿ,Ā,516,530,ÿÿÿÿÿĀ
Āÿ,ÿ,525,531,Āÿÿ
ÿÿÿÿÿÿÿ,þ,518,532,ÿÿÿÿÿÿÿþ
þĀ,ÿ,524,533,þĀÿ
ÿ,ý,255,534,ÿý
ý,ÿ,253,535,ýÿ
ÿÿ,ý,513,536,ÿÿý
ýÿ,ÿ,535,537,ýÿÿ
ÿÿ,Ă,513,538,ÿÿĂ
Ă,Ā,258,539,ĂĀ
Āÿÿ,ÿ,531,540,Āÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿ,ÿ,522,541,ÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿ,þ,522,542,ÿÿÿÿÿÿÿÿÿÿÿþ
þĀ,þ,524,543,þĀþ
þĀÿ,ÿ,533,544,þĀÿÿ
ÿÿ,þ,513,545,ÿÿþ
þ,ý,254,546,þý
ýā,ÿ,528,547,ýāÿ
ÿ,Ā,255,548,ÿĀ
Āÿÿÿ,ÿ,540,549,Āÿÿÿÿ
ÿÿÿÿÿ,þ,516,550,ÿÿÿÿÿþ
þ,ÿ,254,551,þÿ
ÿĀ,ÿ,548,552,ÿĀÿ
ÿÿÿÿÿÿÿÿÿÿÿÿ,ÿ,541,553,ÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿ,ÿ,553,554,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,ÿ,554,555,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿ,þ,553,556,ÿÿÿÿÿÿÿÿÿÿÿÿÿþ
þý,ÿ,546,557,þýÿ
ÿÿĂ,ÿ,538,558,ÿÿĂÿ
ÿÿÿþ,ý,523,559,ÿÿÿþý
ýÿ,ā,535,560,ýÿā
ā,Ā,257,561,āĀ
Āÿÿÿÿ,ÿ,549,562,Āÿÿÿÿÿ
ÿ,þ,255,563,ÿþ
